ID,CODE,COUNTRY,Year,Domestic,Industry,Agricultur,Population,Resources,withdrawal,perCapitaW,perCapitaR
312,ETH,Ethiopia,2002,3.92442000000,0.00000000000,61.48258600000,84.97560600000,110.00000000000,5.55800000000,65.40700600000,1.29448900000
318,GAM,Gambia,2000,3.94120900000,2.05628300000,11.13819800000,1.75073200000,8.00000000000,0.03000000000,17.13569000000,4.56951700000
353,GHA,Ghana,2000,9.66598300000,4.02749300000,26.58145400000,24.33275500000,53.20000000000,0.98000000000,40.27493000000,2.18635300000
354,GIN,Guinea,2000,11.34999800000,3.35113200000,131.56348000000,10.32375500000,226.00000000000,1.51000000000,146.26461000000,21.89126000000
374,GUB,Guinea-Bissau,2000,14.20437300000,5.46322000000,89.59681400000,1.64738000000,31.00000000000,0.18000000000,109.26440800000,18.81775900000
424,KEN,Kenya,2003,11.49876800000,2.44700200000,52.98268100000,40.86290000000,30.70000000000,2.73500000000,66.93112800000,0.75129300000
445,LES,Lesotho,2000,9.59435300000,9.59609100000,4.79804500000,2.08418200000,5.20000000000,0.05000000000,23.99022700000,2.49498400000
446,LIB,Liberia,2000,7.24078200000,4.82718800000,14.74974100000,4.10176700000,232.00000000000,0.11000000000,26.81771100000,56.56098900000
447,LAJ,Libya,2000,91.32826100000,19.66003600000,541.44611800000,6.54561900000,0.60000000000,4.27000000000,652.34472100000,0.09166400000
448,MAD,Madagascar,2000,20.98517300000,11.61257400000,709.96513300000,20.14644200000,337.00000000000,14.96000000000,742.56288000000,16.72751900000
531,MAA,Malawi,2000,9.47367500000,3.03620700000,51.49191400000,15.69178400000,17.30000000000,1.01000000000,64.36489300000,1.10248800000
535,MAL,Mali,2000,44.24644600000,4.91627200000,442.46445900000,13.32310400000,100.00000000000,6.55000000000,491.62717600000,7.50575800000
536,MAU,Mauritania,2000,44.50323300000,14.41294900000,446.18309200000,3.36567500000,11.40000000000,1.70000000000,505.09927400000,3.38713600000
546,MOR,Morocco,2000,38.91136700000,11.67341000000,338.52889600000,32.38128300000,29.00000000000,12.60000000000,389.11367400000,0.89557900000
547,MOZ,Mozambique,2000,2.97629500000,0.61801600000,23.32224400000,23.40567000000,217.10000000000,0.63000000000,26.91655500000,9.27553000000
618,NAM,Namibia,2000,32.54918400000,6.44395900000,96.29133700000,2.21203700000,17.70000000000,0.30000000000,135.62160100000,8.00167400000
625,NIG,Niger,2000,5.48721600000,0.00000000000,130.47379700000,15.89148200000,33.70000000000,2.18000000000,137.18040900000,2.12063300000
626,NIR,Nigeria,2000,10.66630300000,5.12552100000,34.82143800000,158.25891700000,286.20000000000,8.01000000000,50.61326200000,1.80842900000
630,RWA,Rwanda,2000,3.50289600000,1.16763200000,9.92487100000,10.27721200000,9.50000000000,0.15000000000,14.59539800000,0.92437500000
636,SEN,Senegal,2002,6.90474700000,5.17856000000,160.53537300000,12.86071700000,39.40000000000,2.22000000000,172.61868100000,3.06359300000
642,SIL,Sierra Leone,2000,3.36337000000,1.95350500000,59.90749300000,5.83566400000,160.00000000000,0.38000000000,65.11684000000,27.41761700000
673,SOM,Somalia,2003,1.60272900000,0.21355600000,350.57056600000,9.35860200000,14.20000000000,3.29800000000,352.40306200000,1.51732100000
688,SOU,South Africa,2000,76.74421100000,14.85371800000,155.96404100000,50.49240800000,50.00000000000,12.50000000000,247.56197000000,0.99024800000
701,SUD,Sudan,2000,22.85266600000,5.97905200000,835.20841800000,43.19243800000,64.50000000000,37.32000000000,864.04013600000,1.49331700000
702,SWA,Swaziland,2000,17.30587500000,8.65293700000,839.33492200000,1.20190400000,4.50000000000,1.04000000000,865.29373400000,3.74405900000
703,TAN,Tanzania,2000,11.50099700000,0.00000000000,102.35887400000,45.03957300000,91.00000000000,5.18000000000,115.00997100000,2.02044500000
755,TOG,Togo,2000,13.28902700000,0.50147300000,11.28313600000,6.78003000000,14.70000000000,0.17000000000,25.07363500000,2.16813200000
756,TUN,Tunisia,2000,35.62767800000,10.17933700000,208.67640000000,10.37395700000,4.60000000000,2.64000000000,254.48341500000,0.44341800000
760,UGA,Uganda,2002,3.81696800000,1.50903400000,3.55066800000,33.79646100000,66.00000000000,0.30000000000,8.87666900000,1.95286700000
762,ZAM,Zambia,2000,22.31228800000,9.18741300000,99.72673500000,13.25726900000,105.20000000000,1.74000000000,131.24875100000,7.93526900000
763,ZIM,Zimbabwe,2002,46.61484400000,23.30742200000,263.04090600000,12.64404100000,20.00000000000,4.21000000000,332.96317200000,1.58177300000
764,GAB,Gabon,2000,39.96626800000,6.39460300000,33.57166600000,1.50126600000,164.00000000000,0.12000000000,79.93253700000,109.24113400000
